{1,2}	skip moves:[[1 1] [2 2]]; speedup:22.5=>18
{1,3}	skip moves:[[1 2] [3 3]]; speedup:26=>16
{2,3}	skip moves:[[1 2] [3 3]]; speedup:16.29=>15
{1,2,3}	skip moves:[[2 3]]; speedup:24.11=>20.71
{1,4}	skip moves:[[1 3] [2 2] [4 4]]; speedup:27=>15
{2,4}	skip moves:[[1 3] [4 4]]; speedup:15.43=>13.5
{1,2,4}	skip moves:[[2 4]]; speedup:22.23=>19.17
{1,3,4}	skip moves:[[3 4]]; speedup:19.94=>16.73
{2,3,4}	skip moves:[[3 4]]; speedup:16.01=>15.68
{1,2,3,4}	skip moves:[[3 4] [3 3] [4 4]]; speedup:18=>17.67
{1,5}	skip moves:[[1 4] [2 3] [5 5]]; speedup:27.9=>14.4
{2,5}	skip moves:[[1 4] [2 3] [5 5]]; speedup:15.6=>12.6
{1,2,5}	skip moves:[[2 5]]; speedup:21.18=>18.49
{3,5}	skip moves:[[1 4] [2 3] [5 5]]; speedup:11.76=>11.52
{1,3,5}	skip moves:[[3 5]]; speedup:18.74=>16.09
{2,3,5}	skip moves:[[3 5]]; speedup:15.45=>15.02
{1,2,3,5}	skip moves:[[3 5] [3 3] [1 4] [5 5]]; speedup:17.93=>17.18
{1,4,5}	skip moves:[[4 5]]; speedup:18.07=>15.08
{2,4,5}	skip moves:[[4 5]]; speedup:14.35=>13.83
{1,2,4,5}	skip moves:[[4 5] [4 4] [1 3] [2 3] [5 5]]; speedup:17.24=>16.32
{1,3,4,5}	skip moves:[[4 5] [2 2] [4 4] [2 3] [5 5]]; speedup:15.95=>15.75
{2,3,4,5}	skip moves:[[4 5] [1 3] [4 4] [1 4] [5 5]]; speedup:15=>14.86
{1,2,3,4,5}	skip moves:[[5 5] [3 4] [3 5] [4 5]]; speedup:17.8=>17.25
{1,6}	skip moves:[[1 5] [2 4] [3 3] [6 6]]; speedup:28.67=>14
{2,6}	skip moves:[[1 5] [2 4] [3 3] [6 6]]; speedup:15.6=>12
{1,2,6}	skip moves:[[2 6]]; speedup:20.71=>18.17
{3,6}	skip moves:[[1 5] [2 4] [6 6]]; speedup:11.4=>10.8
{1,3,6}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:18.45=>15.6
{2,3,6}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:15.04=>14.4
{1,2,3,6}	skip moves:[[3 6] [3 3] [2 4] [1 5] [6 6]]; speedup:17.97=>16.8
{1,4,6}	skip moves:[[3 3] [2 4] [1 5] [6 6] [4 6]]; speedup:17.26=>14.61
{2,4,6}	skip moves:[[3 3] [1 5] [6 6] [4 6]]; speedup:14.07=>13.44
{1,2,4,6}	skip moves:[[4 6] [4 4] [1 3] [3 3] [1 5] [6 6]]; speedup:17.11=>16
{1,3,4,6}	skip moves:[[4 4] [2 2] [4 6] [2 4] [1 5] [6 6]]; speedup:15.76=>15.39
{2,3,4,6}	skip moves:[[4 6] [1 5] [6 6]]; speedup:14.68=>14.48
{1,2,3,4,6}	skip moves:[[1 5] [6 6] [3 4] [3 6] [4 6]]; speedup:17.54=>16.91
{1,5,6}	skip moves:[[3 3] [2 4] [6 6] [5 6]]; speedup:16.9=>14.08
{2,5,6}	skip moves:[[5 6]]; speedup:13.2=>12.64
{1,2,5,6}	skip moves:[[5 6] [5 5] [2 3] [1 4] [3 3] [2 4] [6 6]]; speedup:16.8=>15.46
{3,5,6}	skip moves:[[5 6]]; speedup:11.75=>11.72
{1,3,5,6}	skip moves:[[2 3] [1 4] [5 5] [5 6] [2 4] [6 6]]; speedup:15.27=>14.87
{2,3,5,6}	skip moves:[[1 4] [5 5] [5 6] [1 5] [2 4] [6 6]]; speedup:14.25=>13.87
{1,2,3,5,6}	skip moves:[[5 5] [1 4] [2 4] [6 6] [3 5] [3 6] [5 6]]; speedup:17.1=>16.43
{1,4,5,6}	skip moves:[[4 6] [5 5] [2 3] [5 6] [3 3] [2 4] [6 6]]; speedup:14.57=>14.36
{2,4,5,6}	skip moves:[[1 4] [5 5] [2 3] [5 6] [6 6] [3 3] [1 5]]; speedup:13.44=>13.33
{1,2,4,5,6}	skip moves:[[5 5] [2 3] [3 3] [6 6] [4 5] [4 6] [5 6]]; speedup:16.36=>15.71
{3,4,5,6}	skip moves:[[2 4] [1 5] [6 6]]; speedup:12.6=>12.57
{1,3,4,5,6}	skip moves:[[2 3] [5 5] [4 5] [2 4] [6 6] [4 6] [5 6]]; speedup:15.44=>15.19
{2,3,4,5,6}	skip moves:[[1 4] [5 5] [1 5] [6 6] [4 6] [5 6]]; speedup:14.58=>14.43
{1,2,3,4,5,6}	skip moves:[[3 6] [4 4] [4 5] [5 5] [4 6] [6 6] [5 6]]; speedup:16.38=>16.13
{1,2,7}	skip moves:[[1 1] [2 2]]; speedup:21.24=>19.5
{1,3,7}	skip moves:[[1 2] [3 3]]; speedup:22.38=>17.56
{2,3,7}	skip moves:[[3 3] [1 2]]; speedup:17.27=>16.6
{1,2,3,7}	skip moves:[[2 3]]; speedup:23.64=>21.61
{1,4,7}	skip moves:[[2 2] [1 3] [4 4]]; speedup:22.83=>16.6
{2,4,7}	skip moves:[[1 3] [4 4]]; speedup:16.18=>15.18
{1,2,4,7}	skip moves:[[2 4]]; speedup:22.16=>20.21
{1,2,3,4,7}	skip moves:[[3 3] [4 4]]; speedup:18.97=>18.76
{1,5,7}	skip moves:[[2 3] [1 4] [5 5]]; speedup:23.47=>16.04
{2,5,7}	skip moves:[[2 3] [1 4] [5 5]]; speedup:16.6=>14.78
{3,5,7}	skip moves:[[2 3] [1 4] [5 5]]; speedup:13.56=>13.35
{1,3,5,7}	skip moves:[[2 3] [1 4] [5 5] [3 5]]; speedup:19.21=>17.27
{2,3,5,7}	skip moves:[[1 4] [5 5] [3 5]]; speedup:16.88=>16.54
{1,2,3,5,7}	skip moves:[[3 5] [3 3] [1 4] [5 5]]; speedup:19=>18.4
{1,4,5,7}	skip moves:[[2 3] [5 5] [4 5]]; speedup:18.44=>16.36
{2,4,5,7}	skip moves:[[4 5]]; speedup:15.87=>15.46
{1,2,4,5,7}	skip moves:[[4 5] [4 4] [1 3] [2 3] [5 5]]; speedup:18.35=>17.61
{1,3,4,5,7}	skip moves:[[4 4] [2 2] [4 5] [2 3] [5 5]]; speedup:17.21=>17.05
{2,3,4,5,7}	skip moves:[[4 4] [1 3] [4 5] [1 4] [5 5]]; speedup:16.57=>16.51
{1,2,3,4,5,7}	skip moves:[[4 4] [5 5] [3 5] [4 5]]; speedup:18.73=>18.33
{1,6,7}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:25.7=>16.14
{2,6,7}	skip moves:[[2 4] [3 3] [1 5] [6 6]]; speedup:15.94=>13.8
{1,2,6,7}	skip moves:[[3 3] [1 5] [2 4] [6 6] [2 6]]; speedup:21.31=>19.29
{3,6,7}	skip moves:[[2 4] [1 5] [6 6]]; speedup:13.11=>12.71
{1,3,6,7}	skip moves:[[1 5] [2 4] [6 6] [3 6]]; speedup:19.32=>17.13
{2,3,6,7}	skip moves:[[2 4] [1 5] [6 6] [3 6]]; speedup:16.24=>15.68
{1,2,3,6,7}	skip moves:[[3 3] [3 6] [2 4] [1 5] [6 6]]; speedup:19=>18.1
{1,4,6,7}	skip moves:[[3 3] [2 4] [1 5] [6 6] [4 6]]; speedup:18.32=>16.27
{2,4,6,7}	skip moves:[[1 5] [3 3] [6 6] [4 6]]; speedup:15.33=>14.81
{1,2,4,6,7}	skip moves:[[4 4] [1 3] [4 6] [3 3] [1 5] [6 6]]; speedup:18.22=>17.36
{3,4,6,7}	skip moves:[[2 4] [1 5] [6 6]]; speedup:14.2=>14.13
{1,3,4,6,7}	skip moves:[[2 2] [4 4] [4 6] [1 5] [2 4] [6 6]]; speedup:17.21=>16.95
{2,3,4,6,7}	skip moves:[[4 6] [1 5] [6 6]]; speedup:16.04=>15.87
{1,2,3,4,6,7}	skip moves:[[4 4] [1 5] [6 6] [3 6] [4 6]]; speedup:18.53=>18.07
{1,5,6,7}	skip moves:[[2 4] [3 3] [6 6] [5 5] [2 3] [1 4] [5 6]]; speedup:17.97=>15.65
{2,5,6,7}	skip moves:[[3 3] [2 4] [1 5] [6 6] [5 6]]; speedup:14.89=>14.32
{1,2,5,6,7}	skip moves:[[1 4] [2 3] [5 5] [5 6] [2 4] [3 3] [6 6]]; speedup:18.1=>17.03
{3,5,6,7}	skip moves:[[1 5] [6 6] [2 4] [5 6]]; speedup:13.38=>13.32
{1,3,5,6,7}	skip moves:[[5 5] [2 3] [1 4] [2 4] [6 6] [5 6]]; speedup:16.65=>16.31
